timestamp,capybara,fox,opossum,otter
2023-01-01 00:47:45.148229387,25.717272381997645,16.291487314189148,30.0,19.84586020728874
2023-01-01 02:03:06.498976064,34.73309853268683,13.453101641402311,30.00100010001,19.84586020728874
2023-01-01 02:58:30.102300959,71.56614995177091,4.802772343588568,30.002000200020003,
2023-01-01 03:45:44.026449301,78.32368086236674,20.560037736318996,30.003000300030003,19.84586020728874
2023-01-01 04:18:47.801017245,35.667924308355175,24.5636910818993,,19.84586020728874
2023-01-01 05:21:05.174479042,32.520372677143364,13.737190891803499,30.005000500050006,
2023-01-01 05:55:37.043596049,47.8862153496973,9.960057260543401,30.006000600060005,19.84586020728874
2023-01-01 08:09:01.731482966,40.09866039510197,22.693071706404787,,19.84586020728874
2023-01-01 11:27:55.415338360,60.858281467583375,,30.00800080008001,
2023-01-01 11:56:56.382901608,76.31143742055748,9.767110434712304,,
2023-01-01 13:31:04.409005497,34.564809561396444,3.173430115228621,30.01000100010001,19.84586020728874
2023-01-01 14:16:14.035799829,28.68118446197056,17.217808331308753,,
2023-01-01 15:06:35.994048089,70.81269031397002,10.394509480523563,30.01200120012001,19.84586020728874
2023-01-01 17:42:29.709002220,73.6102949995041,20.03578109405838,,19.84586020728874
2023-01-01 17:46:54.976279907,,10.138062052668198,30.014001400140014,19.84586020728874
2023-01-01 17:52:23.155984735,34.156346897466626,16.596570346263366,,19.84586020728874
2023-01-01 17:53:36.688096798,24.015202084139908,17.69764595404166,30.016001600160017,
2023-01-01 19:40:51.643743412,23.693034445789852,14.030714467011078,,
2023-01-01 21:11:12.466978127,20.635281526691557,24.12324440455553,,19.84586020728874
2023-01-01 23:13:37.598389531,43.24897484891731,15.949440191158555,30.01900190019002,
2023-01-02 03:04:20.397006931,57.84105895716367,0.9289545766742933,,17.566387324746433
2023-01-02 04:40:39.259419152,,,30.021002100210023,
2023-01-02 05:17:47.405470158,33.34914434143027,14.264914952623402,30.022002200220022,
2023-01-02 06:48:46.934986927,,19.346503298606365,,17.566387324746433
2023-01-02 06:56:20.082869517,68.26224755588179,12.777955606989446,30.024002400240025,17.566387324746433
2023-01-02 07:57:37.237660528,29.3526864229079,23.06403036800721,30.025002500250025,17.566387324746433
2023-01-02 08:06:54.264518348,50.51796294845212,17.388366484440926,,
